,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
10,Doctor of Veterinary Medicine,Banfield Pet Hospital,NY,Staten Island,81991,120117,This company is in a hiring surge in response to COVID-19,Health Care,3.2,2020-05-02,2020-06-07,FULL_TIME
11,RN / LPN,Star Pediatric Home Care Agency,NJ,Jersey City,48000,75000,"Owned and Operated by Nurses.
At Star Pediatric Home Care Agency, we help children shine, one at a time.
Are you a RN Registered Nurse or LPN Licensed Practical Nurse with passion, dedication and love for pediatric nursing? Come shine with us!
Train with our Nurse Educators in the class room setting prior to hands on training in the field. New Nurses and Experienced Nurses welcome to apply.
**Complete Training is Provided in our Simulated Lab prior to Specific Case Training. **
Medical, Dental & Visions Benefits
Paid Time Off
Weekly Pay
Direct Deposit
Flexible Scheduling
*We are looking for a compassionate and dedicated nurse to provide skilled nursing for our Pediatric Patients with Complex Medical Conditions*
Jersey City, NJ:

18-month-old baby boy with gjtube and O2 needs nursing 7p-7a Wed, Thu, Sat

**Choose your shifts and schedule based on the openings in the case**

Provide patient care in accordance with acceptable standards of nursing practice and the written plan of care as well as physicians plan of treatment
Demonstrate sound clinical judgement
Provide respectful and compassionate care to all patients/families/caregivers
Maintain patient confidentiality
Provide patient/caregiver education
Additional requirements on per case basis
Additional requirements based on agency orientation provided upon hire

Come work with us at STAR PEDIATRIC HOME CARE and make a difference in the life of a child.
 ",Health Care,4.5,2020-04-29,2020-06-07,FULL_TIME
12,Emergency Veterinarian - NYC,Veterinary Emergency Group,NY,New York,94715,103279,"Emergency VeterinarianThe family you will be joining:

VEG is a rapidly growing group of emergency practices with multiple locations and a single mission: Helping People and Their Pets When They Need it Most. We are changing the face of emergency veterinary medicine with a “client first” mentality. We’re a group of passionate, thought leaders that believe in the power of an open mind and servant leadership.

If you’re the ideal candidate, you’ll:

Have earned a DVM or equivalent degree Be fulfilled by helping others Thrive in team-oriented environments (think hospital retreats, team dinners, happy hours and more!) Have a ‘glass half full’ attitude and a sense of humor! Live and breathe emergency medicine Be passionate about emergency surgery (the soft tissue kind!)

Benefits

Why you should choose us: Because emergency is all we do, so we do it best! We also offer:

Industry-leading compensation + signing bonus + monthly bonuses Health Insurance 401K w/ company match Unlimited CE Flexible work schedules for a true work-life balance (3 shifts a week is full-time for us!) Growth potential Fresh groceries sent weekly, monthly and quarterly contests, quarterly hospital outings, annual company-wide retreat, etc!
",Health Care,4.9,2020-05-05,2020-06-07,FULL_TIME
13,Emergency Veterinary Technician,Veterinary Emergency Group,NJ,Paramus,38471,43006,"Veterinary Technician

Veterinary Emergency Group is currently hiring a Full-time Veterinary Technician for a busy Emergency hospital. Hours of operation are nights, weekends and holidays only. Part-time and Per diem applicants are encouraged to apply!

Responsibilities to include but, not limited to:

Triaging Knowledge and ability to recognize medical emergencies and illnesses Assessing patients Recording vitals and assisting doctors with diagnostics, Completing all treatments as instructed by the doctor Husbandry and nursing care Monitoring all changes in patients and giving them all the compassionate care they deserve. Taking blood Placing catheters Assisting in and facilitating radiography capture Preparing samples for outside reference labs Running in-house lab work Preparing medications Administering medications Any other field related tasks

Requirements

The ideal candidate will:

Be available Nights, Weekends and Holidays Be able to follow verbal written and electronic instructions Have a minimum of 2 years experience Be able to work well in a fast-paced environment with all personality types Have the ability to learn Vetspire Be able to lift a minimum of 50 lbs.

Benefits

Why VEG: Emergency is our thing. It's all we do. We offer:

Industry-leading compensation Health Insurance Paid Time Off 401 w/ company match Unlimited CE (emergency-focus)
",Health Care,4.9,2020-05-08,2020-06-07,PART_TIME
14,Doctor of Veterinary Medicine,Banfield Pet Hospital,NY,Staten Island,81991,120117,This company is in a hiring surge in response to COVID-19,Health Care,3.2,2020-05-02,2020-06-07,FULL_TIME
15,RN / LPN,Star Pediatric Home Care Agency,NJ,Jersey City,48000,75000,"Owned and Operated by Nurses.
At Star Pediatric Home Care Agency, we help children shine, one at a time.
Are you a RN Registered Nurse or LPN Licensed Practical Nurse with passion, dedication and love for pediatric nursing? Come shine with us!
Train with our Nurse Educators in the class room setting prior to hands on training in the field. New Nurses and Experienced Nurses welcome to apply.
**Complete Training is Provided in our Simulated Lab prior to Specific Case Training. **
Medical, Dental & Visions Benefits
Paid Time Off
Weekly Pay
Direct Deposit
Flexible Scheduling
*We are looking for a compassionate and dedicated nurse to provide skilled nursing for our Pediatric Patients with Complex Medical Conditions*
Jersey City, NJ:

18-month-old baby boy with gjtube and O2 needs nursing 7p-7a Wed, Thu, Sat

**Choose your shifts and schedule based on the openings in the case**

Provide patient care in accordance with acceptable standards of nursing practice and the written plan of care as well as physicians plan of treatment
Demonstrate sound clinical judgement
Provide respectful and compassionate care to all patients/families/caregivers
Maintain patient confidentiality
Provide patient/caregiver education
Additional requirements on per case basis
Additional requirements based on agency orientation provided upon hire

Come work with us at STAR PEDIATRIC HOME CARE and make a difference in the life of a child.
 ",Health Care,4.5,2020-04-29,2020-06-07,FULL_TIME
16,Emergency Veterinarian - NYC,Veterinary Emergency Group,NY,New York,94715,103279,"Emergency VeterinarianThe family you will be joining:

VEG is a rapidly growing group of emergency practices with multiple locations and a single mission: Helping People and Their Pets When They Need it Most. We are changing the face of emergency veterinary medicine with a “client first” mentality. We’re a group of passionate, thought leaders that believe in the power of an open mind and servant leadership.

If you’re the ideal candidate, you’ll:

Have earned a DVM or equivalent degree Be fulfilled by helping others Thrive in team-oriented environments (think hospital retreats, team dinners, happy hours and more!) Have a ‘glass half full’ attitude and a sense of humor! Live and breathe emergency medicine Be passionate about emergency surgery (the soft tissue kind!)

Benefits

Why you should choose us: Because emergency is all we do, so we do it best! We also offer:

Industry-leading compensation + signing bonus + monthly bonuses Health Insurance 401K w/ company match Unlimited CE Flexible work schedules for a true work-life balance (3 shifts a week is full-time for us!) Growth potential Fresh groceries sent weekly, monthly and quarterly contests, quarterly hospital outings, annual company-wide retreat, etc!
",Health Care,4.9,2020-05-05,2020-06-07,FULL_TIME
17,Emergency Veterinary Technician,Veterinary Emergency Group,NJ,Paramus,38471,43006,"Veterinary Technician

Veterinary Emergency Group is currently hiring a Full-time Veterinary Technician for a busy Emergency hospital. Hours of operation are nights, weekends and holidays only. Part-time and Per diem applicants are encouraged to apply!

Responsibilities to include but, not limited to:

Triaging Knowledge and ability to recognize medical emergencies and illnesses Assessing patients Recording vitals and assisting doctors with diagnostics, Completing all treatments as instructed by the doctor Husbandry and nursing care Monitoring all changes in patients and giving them all the compassionate care they deserve. Taking blood Placing catheters Assisting in and facilitating radiography capture Preparing samples for outside reference labs Running in-house lab work Preparing medications Administering medications Any other field related tasks

Requirements

The ideal candidate will:

Be available Nights, Weekends and Holidays Be able to follow verbal written and electronic instructions Have a minimum of 2 years experience Be able to work well in a fast-paced environment with all personality types Have the ability to learn Vetspire Be able to lift a minimum of 50 lbs.

Benefits

Why VEG: Emergency is our thing. It's all we do. We offer:

Industry-leading compensation Health Insurance Paid Time Off 401 w/ company match Unlimited CE (emergency-focus)
",Health Care,4.9,2020-05-08,2020-06-07,PART_TIME
18,Doctor of Veterinary Medicine,Banfield Pet Hospital,NY,Staten Island,81991,120117,This company is in a hiring surge in response to COVID-19,Health Care,3.2,2020-05-02,2020-06-07,FULL_TIME
19,RN / LPN,Star Pediatric Home Care Agency,NJ,Jersey City,48000,75000,"Owned and Operated by Nurses.
At Star Pediatric Home Care Agency, we help children shine, one at a time.
Are you a RN Registered Nurse or LPN Licensed Practical Nurse with passion, dedication and love for pediatric nursing? Come shine with us!
Train with our Nurse Educators in the class room setting prior to hands on training in the field. New Nurses and Experienced Nurses welcome to apply.
**Complete Training is Provided in our Simulated Lab prior to Specific Case Training. **
Medical, Dental & Visions Benefits
Paid Time Off
Weekly Pay
Direct Deposit
Flexible Scheduling
*We are looking for a compassionate and dedicated nurse to provide skilled nursing for our Pediatric Patients with Complex Medical Conditions*
Jersey City, NJ:

18-month-old baby boy with gjtube and O2 needs nursing 7p-7a Wed, Thu, Sat

**Choose your shifts and schedule based on the openings in the case**

Provide patient care in accordance with acceptable standards of nursing practice and the written plan of care as well as physicians plan of treatment
Demonstrate sound clinical judgement
Provide respectful and compassionate care to all patients/families/caregivers
Maintain patient confidentiality
Provide patient/caregiver education
Additional requirements on per case basis
Additional requirements based on agency orientation provided upon hire

Come work with us at STAR PEDIATRIC HOME CARE and make a difference in the life of a child.
 ",Health Care,4.5,2020-04-29,2020-06-07,FULL_TIME
20,Emergency Veterinarian - NYC,Veterinary Emergency Group,NY,New York,94715,103279,"Emergency VeterinarianThe family you will be joining:

VEG is a rapidly growing group of emergency practices with multiple locations and a single mission: Helping People and Their Pets When They Need it Most. We are changing the face of emergency veterinary medicine with a “client first” mentality. We’re a group of passionate, thought leaders that believe in the power of an open mind and servant leadership.

If you’re the ideal candidate, you’ll:

Have earned a DVM or equivalent degree Be fulfilled by helping others Thrive in team-oriented environments (think hospital retreats, team dinners, happy hours and more!) Have a ‘glass half full’ attitude and a sense of humor! Live and breathe emergency medicine Be passionate about emergency surgery (the soft tissue kind!)

Benefits

Why you should choose us: Because emergency is all we do, so we do it best! We also offer:

Industry-leading compensation + signing bonus + monthly bonuses Health Insurance 401K w/ company match Unlimited CE Flexible work schedules for a true work-life balance (3 shifts a week is full-time for us!) Growth potential Fresh groceries sent weekly, monthly and quarterly contests, quarterly hospital outings, annual company-wide retreat, etc!
",Health Care,4.9,2020-05-05,2020-06-07,FULL_TIME
21,Emergency Veterinary Technician,Veterinary Emergency Group,NJ,Paramus,38471,43006,"Veterinary Technician

Veterinary Emergency Group is currently hiring a Full-time Veterinary Technician for a busy Emergency hospital. Hours of operation are nights, weekends and holidays only. Part-time and Per diem applicants are encouraged to apply!

Responsibilities to include but, not limited to:

Triaging Knowledge and ability to recognize medical emergencies and illnesses Assessing patients Recording vitals and assisting doctors with diagnostics, Completing all treatments as instructed by the doctor Husbandry and nursing care Monitoring all changes in patients and giving them all the compassionate care they deserve. Taking blood Placing catheters Assisting in and facilitating radiography capture Preparing samples for outside reference labs Running in-house lab work Preparing medications Administering medications Any other field related tasks

Requirements

The ideal candidate will:

Be available Nights, Weekends and Holidays Be able to follow verbal written and electronic instructions Have a minimum of 2 years experience Be able to work well in a fast-paced environment with all personality types Have the ability to learn Vetspire Be able to lift a minimum of 50 lbs.

Benefits

Why VEG: Emergency is our thing. It's all we do. We offer:

Industry-leading compensation Health Insurance Paid Time Off 401 w/ company match Unlimited CE (emergency-focus)
",Health Care,4.9,2020-05-08,2020-06-07,PART_TIME
22,Doctor of Veterinary Medicine,Banfield Pet Hospital,NY,Staten Island,81991,120117,This company is in a hiring surge in response to COVID-19,Health Care,3.2,2020-05-02,2020-06-07,FULL_TIME
23,RN / LPN,Star Pediatric Home Care Agency,NJ,Jersey City,48000,75000,"Owned and Operated by Nurses.
At Star Pediatric Home Care Agency, we help children shine, one at a time.
Are you a RN Registered Nurse or LPN Licensed Practical Nurse with passion, dedication and love for pediatric nursing? Come shine with us!
Train with our Nurse Educators in the class room setting prior to hands on training in the field. New Nurses and Experienced Nurses welcome to apply.
**Complete Training is Provided in our Simulated Lab prior to Specific Case Training. **
Medical, Dental & Visions Benefits
Paid Time Off
Weekly Pay
Direct Deposit
Flexible Scheduling
*We are looking for a compassionate and dedicated nurse to provide skilled nursing for our Pediatric Patients with Complex Medical Conditions*
Jersey City, NJ:

18-month-old baby boy with gjtube and O2 needs nursing 7p-7a Wed, Thu, Sat

**Choose your shifts and schedule based on the openings in the case**

Provide patient care in accordance with acceptable standards of nursing practice and the written plan of care as well as physicians plan of treatment
Demonstrate sound clinical judgement
Provide respectful and compassionate care to all patients/families/caregivers
Maintain patient confidentiality
Provide patient/caregiver education
Additional requirements on per case basis
Additional requirements based on agency orientation provided upon hire

Come work with us at STAR PEDIATRIC HOME CARE and make a difference in the life of a child.
 ",Health Care,4.5,2020-04-29,2020-06-07,FULL_TIME
24,Emergency Veterinarian - NYC,Veterinary Emergency Group,NY,New York,94715,103279,"Emergency VeterinarianThe family you will be joining:

VEG is a rapidly growing group of emergency practices with multiple locations and a single mission: Helping People and Their Pets When They Need it Most. We are changing the face of emergency veterinary medicine with a “client first” mentality. We’re a group of passionate, thought leaders that believe in the power of an open mind and servant leadership.

If you’re the ideal candidate, you’ll:

Have earned a DVM or equivalent degree Be fulfilled by helping others Thrive in team-oriented environments (think hospital retreats, team dinners, happy hours and more!) Have a ‘glass half full’ attitude and a sense of humor! Live and breathe emergency medicine Be passionate about emergency surgery (the soft tissue kind!)

Benefits

Why you should choose us: Because emergency is all we do, so we do it best! We also offer:

Industry-leading compensation + signing bonus + monthly bonuses Health Insurance 401K w/ company match Unlimited CE Flexible work schedules for a true work-life balance (3 shifts a week is full-time for us!) Growth potential Fresh groceries sent weekly, monthly and quarterly contests, quarterly hospital outings, annual company-wide retreat, etc!
",Health Care,4.9,2020-05-05,2020-06-07,FULL_TIME
25,Emergency Veterinary Technician,Veterinary Emergency Group,NJ,Paramus,38471,43006,"Veterinary Technician

Veterinary Emergency Group is currently hiring a Full-time Veterinary Technician for a busy Emergency hospital. Hours of operation are nights, weekends and holidays only. Part-time and Per diem applicants are encouraged to apply!

Responsibilities to include but, not limited to:

Triaging Knowledge and ability to recognize medical emergencies and illnesses Assessing patients Recording vitals and assisting doctors with diagnostics, Completing all treatments as instructed by the doctor Husbandry and nursing care Monitoring all changes in patients and giving them all the compassionate care they deserve. Taking blood Placing catheters Assisting in and facilitating radiography capture Preparing samples for outside reference labs Running in-house lab work Preparing medications Administering medications Any other field related tasks

Requirements

The ideal candidate will:

Be available Nights, Weekends and Holidays Be able to follow verbal written and electronic instructions Have a minimum of 2 years experience Be able to work well in a fast-paced environment with all personality types Have the ability to learn Vetspire Be able to lift a minimum of 50 lbs.

Benefits

Why VEG: Emergency is our thing. It's all we do. We offer:

Industry-leading compensation Health Insurance Paid Time Off 401 w/ company match Unlimited CE (emergency-focus)
",Health Care,4.9,2020-05-08,2020-06-07,PART_TIME
26,Doctor of Veterinary Medicine,Banfield Pet Hospital,NY,Staten Island,81991,120117,This company is in a hiring surge in response to COVID-19,Health Care,3.2,2020-05-02,2020-06-07,FULL_TIME
27,RN / LPN,Star Pediatric Home Care Agency,NJ,Jersey City,48000,75000,"Owned and Operated by Nurses.
At Star Pediatric Home Care Agency, we help children shine, one at a time.
Are you a RN Registered Nurse or LPN Licensed Practical Nurse with passion, dedication and love for pediatric nursing? Come shine with us!
Train with our Nurse Educators in the class room setting prior to hands on training in the field. New Nurses and Experienced Nurses welcome to apply.
**Complete Training is Provided in our Simulated Lab prior to Specific Case Training. **
Medical, Dental & Visions Benefits
Paid Time Off
Weekly Pay
Direct Deposit
Flexible Scheduling
*We are looking for a compassionate and dedicated nurse to provide skilled nursing for our Pediatric Patients with Complex Medical Conditions*
Jersey City, NJ:

18-month-old baby boy with gjtube and O2 needs nursing 7p-7a Wed, Thu, Sat

**Choose your shifts and schedule based on the openings in the case**

Provide patient care in accordance with acceptable standards of nursing practice and the written plan of care as well as physicians plan of treatment
Demonstrate sound clinical judgement
Provide respectful and compassionate care to all patients/families/caregivers
Maintain patient confidentiality
Provide patient/caregiver education
Additional requirements on per case basis
Additional requirements based on agency orientation provided upon hire

Come work with us at STAR PEDIATRIC HOME CARE and make a difference in the life of a child.
 ",Health Care,4.5,2020-04-29,2020-06-07,FULL_TIME
28,Emergency Veterinarian - NYC,Veterinary Emergency Group,NY,New York,94715,103279,"Emergency VeterinarianThe family you will be joining:

VEG is a rapidly growing group of emergency practices with multiple locations and a single mission: Helping People and Their Pets When They Need it Most. We are changing the face of emergency veterinary medicine with a “client first” mentality. We’re a group of passionate, thought leaders that believe in the power of an open mind and servant leadership.

If you’re the ideal candidate, you’ll:

Have earned a DVM or equivalent degree Be fulfilled by helping others Thrive in team-oriented environments (think hospital retreats, team dinners, happy hours and more!) Have a ‘glass half full’ attitude and a sense of humor! Live and breathe emergency medicine Be passionate about emergency surgery (the soft tissue kind!)

Benefits

Why you should choose us: Because emergency is all we do, so we do it best! We also offer:

Industry-leading compensation + signing bonus + monthly bonuses Health Insurance 401K w/ company match Unlimited CE Flexible work schedules for a true work-life balance (3 shifts a week is full-time for us!) Growth potential Fresh groceries sent weekly, monthly and quarterly contests, quarterly hospital outings, annual company-wide retreat, etc!
",Health Care,4.9,2020-05-05,2020-06-07,FULL_TIME
29,Emergency Veterinary Technician,Veterinary Emergency Group,NJ,Paramus,38471,43006,"Veterinary Technician

Veterinary Emergency Group is currently hiring a Full-time Veterinary Technician for a busy Emergency hospital. Hours of operation are nights, weekends and holidays only. Part-time and Per diem applicants are encouraged to apply!

Responsibilities to include but, not limited to:

Triaging Knowledge and ability to recognize medical emergencies and illnesses Assessing patients Recording vitals and assisting doctors with diagnostics, Completing all treatments as instructed by the doctor Husbandry and nursing care Monitoring all changes in patients and giving them all the compassionate care they deserve. Taking blood Placing catheters Assisting in and facilitating radiography capture Preparing samples for outside reference labs Running in-house lab work Preparing medications Administering medications Any other field related tasks

Requirements

The ideal candidate will:

Be available Nights, Weekends and Holidays Be able to follow verbal written and electronic instructions Have a minimum of 2 years experience Be able to work well in a fast-paced environment with all personality types Have the ability to learn Vetspire Be able to lift a minimum of 50 lbs.

Benefits

Why VEG: Emergency is our thing. It's all we do. We offer:

Industry-leading compensation Health Insurance Paid Time Off 401 w/ company match Unlimited CE (emergency-focus)
",Health Care,4.9,2020-05-08,2020-06-07,PART_TIME
30,Doctor of Veterinary Medicine,Banfield Pet Hospital,NY,Staten Island,81991,120117,This company is in a hiring surge in response to COVID-19,Health Care,3.2,2020-05-02,2020-06-07,FULL_TIME
