,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
27,Senior Salesforce Developer,National Debt Relief,NY,New York,44587,82162,"Principle Duties & Responsibilities:

Analyze complex systems and troubleshoot and isolate system issues;
Understand requirements for business users and translate into design specifications, utilizing thorough understanding of the Salesforce platform, Salesforce products and licensing models;
Utilize thorough understanding of application development, project lifecycle, and methodologies and ability to work under tight deadlines and handle multiple detail-oriented tasks;
Apply knowledge of Salesforce developmentand customizations, with APEX, Visual Force, API, Force.com and Workflows, taking into account com best practices, support mechanisms, procedures, and limitations, as well as NDR's unique needs;
Responsible for Salesforce administration, release management and deployment as well as management of Salesforce.com sandboxes, including their integrations;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Design, develop, and maintain integration and synchronization programs;
Design the data model, user interface, business logic, and security for custom applications; and
Design, develop, and customize software solutions for end users by using analysis and mathematical models to effectively predict and measure the results of the design using Chatter, Communities and other Salesforce applications.

Requirements:

Bachelor of Science degree or foreign equivalent in Information Systems, Computer Science, Computer Engineering, Software Engineering or a related field
3 years of experience with the Salesforce platform, specifically: development with Apex, VisualForce, and Force.com;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Salesforce administration, release management, and deployment
Salesforce products and licensing models
Management of Salesforce.com sandboxes, including their integrations; Chatter, Communities, and other Salesforce apps
com best practices, support mechanisms, procedures, and limitations.

What We Offer:

We believe in a team-first culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth within the company, through our employee mentorship and leadership programs.

Our extensive benefits package includes:


Medical, Dental, and Vision Benefits
401(k) Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 Weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
No-cost Life Insurance Benefits

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

#ZR",Finance,4.0,2020-05-08,2020-06-07,FULL_TIME
28,Paid Search Director,National Debt Relief,NY,New York,91572,114484,"Who We're Looking For:

National Debt Relief is currently seeking a highly motivated, analytical, and passionate paid search marketing expert to help drive the company's rapid growth. This fast-paced role will be responsible for maintaining the company's leading digital marketing position while championing opportunities for improved performance and scale. This represents a unique opportunity to leverage the latest technologies, capabilities, and strategies within the search landscape to deliver unprecedented results. Based in our Downtown Manhattan headquarters and reporting directly to the company's Chief Marketing Officer, this highly-visible position will interact with and engage senior stakeholders throughout the company.

If you believe you are among the best-paid search marketers and prepared to roll-up-your-sleeves to achieve exceptional results, we want to hear from you.

Principal Duties and Responsibilities:

Serve as the company's SEM subject matter expert, managing day-to-day paid search marketing efforts across search engines via both manual and automated optimization.
Set clear KPIs and drive a team culture of accountability and rigor across digital programs.
Nimbly manage and measure performance across an evergreen portfolio of keyword targets, while conducting ongoing testing within accounts leveraging the latest features an/or technologies internal or external to each of the platforms.
Closely monitor the ever-changing competitive landscape and build scalable solutions to stay ahead of trends.
Work closely with stakeholders at Google and Bing, as well as the tight network of the company's solution partners to maximize performance across SEM efforts.
Work through automation, tagging, and data integrity issues with cross-functional stakeholders internal and external to the organization.
Be fiercely competitive and maintain a sense of urgency, creativity, and curiosity for how to continue to outperform the competition in SEM.
Serve as the company's primary point of contact for all issues and opportunities relating to paid search marketing.
Provide ongoing and ad hoc reporting and communication of results, tests, plans, budget, and initiatives to senior management.

Qualifications:

Bachelor's degree in Marketing or a related field required, MBA preferred.
5+ years of active/hands-on experience in paid search required, preferably within a performance marketing environment.
Experience managing large, dynamic search programs with significant monthly budgets.
Expert understanding of Google and Bing, the latest capabilities of each, and how to effectively deploy optimization strategies and resources that that maximize yield.
Experienced with performance marketing platforms, automated bidding tools, keyword research solutions and other analytics and testing solutions to include Google Adwords, Bing Ads, Adobe Analytics, Google Analytics, Salesforce-related solutions, and Marin among others.
Exceptional analytical and problem-solving skills with previous experience structuring and performing complex testing and analysis within paid search in order to drive efficient growth and effective results.
Powerful communicator with the ability to engage and influence senior leadership.
Proficiency with Microsoft Office (Excel, Word, PowerPoint).
Strong organizational skills and attention to detail.
Excellent time management skills, with the ability to prioritize, multi-task, and work under shifting deadlines in a fast-paced environment.

What We Offer:

A team-first, work hard play hard culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth.

Our extensive benefits package includes:


Generous Medical, Dental, and Vision Benefits
401(k) with Company Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
Citi Bike Annual Membership Discounts
No-Cost Life Insurance Benefits
Voluntary Benefits Options
ASPCA Pet Health Insurance Discount

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

National Debt Relief is a certified Great Place to Work®!

National Debt Relief is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law

#ZR",Finance,4.0,2020-04-25,2020-06-07,FULL_TIME
29,Regional Vice President – Partner Development (East Coast),PlanMember Financial,NY,New York,84236,162105,"DepartmentRecruitingClassificationExemptLocationEast CoastPosition TypeFull TimeDescriptionRecruit Financial Heads or group of Financial Advisors to open new PlanMember Financial Centers. You will play an integral part of the process of growing our PlanMember footprint.ResponsibilitiesDuties of Recruiting Operations Lead:

Handle all aspects of Recruiting for prospective Financial Centers in their region
Work with Director of Partner Development to implement & execute new Financial Center game plans
Seminars/Webinars/Luncheons organization & schedule for prospective Financial Centers
Coordinate & Communicate with BDO’s and Recruiting Team Re: Recruiting Activities in their region
Act as 1st in contact and manage Zip Recruiter, Linked IN, Indeed for prospecting & hiring of Advisors for potential Financial Centers
Return recruit calls as appropriate/set phone & in-person meetings & appointments
Be familiar with Term Sheet and Long Form Agreements
Be familiar with all aspects of Co-branding between PlanMember and potential Financial Center
Red Files – Know & understand the process & procedures
Coordinate with Recruiting Team Re: Direct Mail and Email Campaigns
Attend relevant weekly internal meetings
Research and develop qualified names to add to recruit database
Project Manage recruiting projects, as needed
Read all relevant company literature
Implement regional master recruiting plan for 45 new Financial Centers Nationwide
Develop close relationship with recruits to ensure success is mutually beneficial

Qualifications

Securities Industry knowledge and experience
Be proficient with Word, PowerPoint, Excel, and Outlook
Have a working knowledge of database management
Recruiting and/or sales experience a plus
Have excellent communication skills
Ability to work independently without close supervision
Ability to work well in a team environment
Excellent Presentation skills

Personal Character Attributes:

Sound Business Judgment
Hard-working
Honesty & integrity
Leadership Skills
Friendly & courteous
Professional

EducationIndustry Licenses: Must complete Series 7 and 65 FINRA",Finance,3.6,2020-04-27,2020-06-07,FULL_TIME
30,Senior Salesforce Developer,National Debt Relief,NY,New York,44587,82162,"Principle Duties & Responsibilities:

Analyze complex systems and troubleshoot and isolate system issues;
Understand requirements for business users and translate into design specifications, utilizing thorough understanding of the Salesforce platform, Salesforce products and licensing models;
Utilize thorough understanding of application development, project lifecycle, and methodologies and ability to work under tight deadlines and handle multiple detail-oriented tasks;
Apply knowledge of Salesforce developmentand customizations, with APEX, Visual Force, API, Force.com and Workflows, taking into account com best practices, support mechanisms, procedures, and limitations, as well as NDR's unique needs;
Responsible for Salesforce administration, release management and deployment as well as management of Salesforce.com sandboxes, including their integrations;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Design, develop, and maintain integration and synchronization programs;
Design the data model, user interface, business logic, and security for custom applications; and
Design, develop, and customize software solutions for end users by using analysis and mathematical models to effectively predict and measure the results of the design using Chatter, Communities and other Salesforce applications.

Requirements:

Bachelor of Science degree or foreign equivalent in Information Systems, Computer Science, Computer Engineering, Software Engineering or a related field
3 years of experience with the Salesforce platform, specifically: development with Apex, VisualForce, and Force.com;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Salesforce administration, release management, and deployment
Salesforce products and licensing models
Management of Salesforce.com sandboxes, including their integrations; Chatter, Communities, and other Salesforce apps
com best practices, support mechanisms, procedures, and limitations.

What We Offer:

We believe in a team-first culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth within the company, through our employee mentorship and leadership programs.

Our extensive benefits package includes:


Medical, Dental, and Vision Benefits
401(k) Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 Weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
No-cost Life Insurance Benefits

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

#ZR",Finance,4.0,2020-05-08,2020-06-07,FULL_TIME
31,Paid Search Director,National Debt Relief,NY,New York,91572,114484,"Who We're Looking For:

National Debt Relief is currently seeking a highly motivated, analytical, and passionate paid search marketing expert to help drive the company's rapid growth. This fast-paced role will be responsible for maintaining the company's leading digital marketing position while championing opportunities for improved performance and scale. This represents a unique opportunity to leverage the latest technologies, capabilities, and strategies within the search landscape to deliver unprecedented results. Based in our Downtown Manhattan headquarters and reporting directly to the company's Chief Marketing Officer, this highly-visible position will interact with and engage senior stakeholders throughout the company.

If you believe you are among the best-paid search marketers and prepared to roll-up-your-sleeves to achieve exceptional results, we want to hear from you.

Principal Duties and Responsibilities:

Serve as the company's SEM subject matter expert, managing day-to-day paid search marketing efforts across search engines via both manual and automated optimization.
Set clear KPIs and drive a team culture of accountability and rigor across digital programs.
Nimbly manage and measure performance across an evergreen portfolio of keyword targets, while conducting ongoing testing within accounts leveraging the latest features an/or technologies internal or external to each of the platforms.
Closely monitor the ever-changing competitive landscape and build scalable solutions to stay ahead of trends.
Work closely with stakeholders at Google and Bing, as well as the tight network of the company's solution partners to maximize performance across SEM efforts.
Work through automation, tagging, and data integrity issues with cross-functional stakeholders internal and external to the organization.
Be fiercely competitive and maintain a sense of urgency, creativity, and curiosity for how to continue to outperform the competition in SEM.
Serve as the company's primary point of contact for all issues and opportunities relating to paid search marketing.
Provide ongoing and ad hoc reporting and communication of results, tests, plans, budget, and initiatives to senior management.

Qualifications:

Bachelor's degree in Marketing or a related field required, MBA preferred.
5+ years of active/hands-on experience in paid search required, preferably within a performance marketing environment.
Experience managing large, dynamic search programs with significant monthly budgets.
Expert understanding of Google and Bing, the latest capabilities of each, and how to effectively deploy optimization strategies and resources that that maximize yield.
Experienced with performance marketing platforms, automated bidding tools, keyword research solutions and other analytics and testing solutions to include Google Adwords, Bing Ads, Adobe Analytics, Google Analytics, Salesforce-related solutions, and Marin among others.
Exceptional analytical and problem-solving skills with previous experience structuring and performing complex testing and analysis within paid search in order to drive efficient growth and effective results.
Powerful communicator with the ability to engage and influence senior leadership.
Proficiency with Microsoft Office (Excel, Word, PowerPoint).
Strong organizational skills and attention to detail.
Excellent time management skills, with the ability to prioritize, multi-task, and work under shifting deadlines in a fast-paced environment.

What We Offer:

A team-first, work hard play hard culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth.

Our extensive benefits package includes:


Generous Medical, Dental, and Vision Benefits
401(k) with Company Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
Citi Bike Annual Membership Discounts
No-Cost Life Insurance Benefits
Voluntary Benefits Options
ASPCA Pet Health Insurance Discount

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

National Debt Relief is a certified Great Place to Work®!

National Debt Relief is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law

#ZR",Finance,4.0,2020-04-25,2020-06-07,FULL_TIME
32,Regional Vice President – Partner Development (East Coast),PlanMember Financial,NY,New York,84236,162105,"DepartmentRecruitingClassificationExemptLocationEast CoastPosition TypeFull TimeDescriptionRecruit Financial Heads or group of Financial Advisors to open new PlanMember Financial Centers. You will play an integral part of the process of growing our PlanMember footprint.ResponsibilitiesDuties of Recruiting Operations Lead:

Handle all aspects of Recruiting for prospective Financial Centers in their region
Work with Director of Partner Development to implement & execute new Financial Center game plans
Seminars/Webinars/Luncheons organization & schedule for prospective Financial Centers
Coordinate & Communicate with BDO’s and Recruiting Team Re: Recruiting Activities in their region
Act as 1st in contact and manage Zip Recruiter, Linked IN, Indeed for prospecting & hiring of Advisors for potential Financial Centers
Return recruit calls as appropriate/set phone & in-person meetings & appointments
Be familiar with Term Sheet and Long Form Agreements
Be familiar with all aspects of Co-branding between PlanMember and potential Financial Center
Red Files – Know & understand the process & procedures
Coordinate with Recruiting Team Re: Direct Mail and Email Campaigns
Attend relevant weekly internal meetings
Research and develop qualified names to add to recruit database
Project Manage recruiting projects, as needed
Read all relevant company literature
Implement regional master recruiting plan for 45 new Financial Centers Nationwide
Develop close relationship with recruits to ensure success is mutually beneficial

Qualifications

Securities Industry knowledge and experience
Be proficient with Word, PowerPoint, Excel, and Outlook
Have a working knowledge of database management
Recruiting and/or sales experience a plus
Have excellent communication skills
Ability to work independently without close supervision
Ability to work well in a team environment
Excellent Presentation skills

Personal Character Attributes:

Sound Business Judgment
Hard-working
Honesty & integrity
Leadership Skills
Friendly & courteous
Professional

EducationIndustry Licenses: Must complete Series 7 and 65 FINRA",Finance,3.6,2020-04-27,2020-06-07,FULL_TIME
33,Senior Salesforce Developer,National Debt Relief,NY,New York,44587,82162,"Principle Duties & Responsibilities:

Analyze complex systems and troubleshoot and isolate system issues;
Understand requirements for business users and translate into design specifications, utilizing thorough understanding of the Salesforce platform, Salesforce products and licensing models;
Utilize thorough understanding of application development, project lifecycle, and methodologies and ability to work under tight deadlines and handle multiple detail-oriented tasks;
Apply knowledge of Salesforce developmentand customizations, with APEX, Visual Force, API, Force.com and Workflows, taking into account com best practices, support mechanisms, procedures, and limitations, as well as NDR's unique needs;
Responsible for Salesforce administration, release management and deployment as well as management of Salesforce.com sandboxes, including their integrations;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Design, develop, and maintain integration and synchronization programs;
Design the data model, user interface, business logic, and security for custom applications; and
Design, develop, and customize software solutions for end users by using analysis and mathematical models to effectively predict and measure the results of the design using Chatter, Communities and other Salesforce applications.

Requirements:

Bachelor of Science degree or foreign equivalent in Information Systems, Computer Science, Computer Engineering, Software Engineering or a related field
3 years of experience with the Salesforce platform, specifically: development with Apex, VisualForce, and Force.com;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Salesforce administration, release management, and deployment
Salesforce products and licensing models
Management of Salesforce.com sandboxes, including their integrations; Chatter, Communities, and other Salesforce apps
com best practices, support mechanisms, procedures, and limitations.

What We Offer:

We believe in a team-first culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth within the company, through our employee mentorship and leadership programs.

Our extensive benefits package includes:


Medical, Dental, and Vision Benefits
401(k) Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 Weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
No-cost Life Insurance Benefits

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

#ZR",Finance,4.0,2020-05-08,2020-06-07,FULL_TIME
34,Paid Search Director,National Debt Relief,NY,New York,91572,114484,"Who We're Looking For:

National Debt Relief is currently seeking a highly motivated, analytical, and passionate paid search marketing expert to help drive the company's rapid growth. This fast-paced role will be responsible for maintaining the company's leading digital marketing position while championing opportunities for improved performance and scale. This represents a unique opportunity to leverage the latest technologies, capabilities, and strategies within the search landscape to deliver unprecedented results. Based in our Downtown Manhattan headquarters and reporting directly to the company's Chief Marketing Officer, this highly-visible position will interact with and engage senior stakeholders throughout the company.

If you believe you are among the best-paid search marketers and prepared to roll-up-your-sleeves to achieve exceptional results, we want to hear from you.

Principal Duties and Responsibilities:

Serve as the company's SEM subject matter expert, managing day-to-day paid search marketing efforts across search engines via both manual and automated optimization.
Set clear KPIs and drive a team culture of accountability and rigor across digital programs.
Nimbly manage and measure performance across an evergreen portfolio of keyword targets, while conducting ongoing testing within accounts leveraging the latest features an/or technologies internal or external to each of the platforms.
Closely monitor the ever-changing competitive landscape and build scalable solutions to stay ahead of trends.
Work closely with stakeholders at Google and Bing, as well as the tight network of the company's solution partners to maximize performance across SEM efforts.
Work through automation, tagging, and data integrity issues with cross-functional stakeholders internal and external to the organization.
Be fiercely competitive and maintain a sense of urgency, creativity, and curiosity for how to continue to outperform the competition in SEM.
Serve as the company's primary point of contact for all issues and opportunities relating to paid search marketing.
Provide ongoing and ad hoc reporting and communication of results, tests, plans, budget, and initiatives to senior management.

Qualifications:

Bachelor's degree in Marketing or a related field required, MBA preferred.
5+ years of active/hands-on experience in paid search required, preferably within a performance marketing environment.
Experience managing large, dynamic search programs with significant monthly budgets.
Expert understanding of Google and Bing, the latest capabilities of each, and how to effectively deploy optimization strategies and resources that that maximize yield.
Experienced with performance marketing platforms, automated bidding tools, keyword research solutions and other analytics and testing solutions to include Google Adwords, Bing Ads, Adobe Analytics, Google Analytics, Salesforce-related solutions, and Marin among others.
Exceptional analytical and problem-solving skills with previous experience structuring and performing complex testing and analysis within paid search in order to drive efficient growth and effective results.
Powerful communicator with the ability to engage and influence senior leadership.
Proficiency with Microsoft Office (Excel, Word, PowerPoint).
Strong organizational skills and attention to detail.
Excellent time management skills, with the ability to prioritize, multi-task, and work under shifting deadlines in a fast-paced environment.

What We Offer:

A team-first, work hard play hard culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth.

Our extensive benefits package includes:


Generous Medical, Dental, and Vision Benefits
401(k) with Company Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
Citi Bike Annual Membership Discounts
No-Cost Life Insurance Benefits
Voluntary Benefits Options
ASPCA Pet Health Insurance Discount

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

National Debt Relief is a certified Great Place to Work®!

National Debt Relief is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law

#ZR",Finance,4.0,2020-04-25,2020-06-07,FULL_TIME
35,Regional Vice President – Partner Development (East Coast),PlanMember Financial,NY,New York,84236,162105,"DepartmentRecruitingClassificationExemptLocationEast CoastPosition TypeFull TimeDescriptionRecruit Financial Heads or group of Financial Advisors to open new PlanMember Financial Centers. You will play an integral part of the process of growing our PlanMember footprint.ResponsibilitiesDuties of Recruiting Operations Lead:

Handle all aspects of Recruiting for prospective Financial Centers in their region
Work with Director of Partner Development to implement & execute new Financial Center game plans
Seminars/Webinars/Luncheons organization & schedule for prospective Financial Centers
Coordinate & Communicate with BDO’s and Recruiting Team Re: Recruiting Activities in their region
Act as 1st in contact and manage Zip Recruiter, Linked IN, Indeed for prospecting & hiring of Advisors for potential Financial Centers
Return recruit calls as appropriate/set phone & in-person meetings & appointments
Be familiar with Term Sheet and Long Form Agreements
Be familiar with all aspects of Co-branding between PlanMember and potential Financial Center
Red Files – Know & understand the process & procedures
Coordinate with Recruiting Team Re: Direct Mail and Email Campaigns
Attend relevant weekly internal meetings
Research and develop qualified names to add to recruit database
Project Manage recruiting projects, as needed
Read all relevant company literature
Implement regional master recruiting plan for 45 new Financial Centers Nationwide
Develop close relationship with recruits to ensure success is mutually beneficial

Qualifications

Securities Industry knowledge and experience
Be proficient with Word, PowerPoint, Excel, and Outlook
Have a working knowledge of database management
Recruiting and/or sales experience a plus
Have excellent communication skills
Ability to work independently without close supervision
Ability to work well in a team environment
Excellent Presentation skills

Personal Character Attributes:

Sound Business Judgment
Hard-working
Honesty & integrity
Leadership Skills
Friendly & courteous
Professional

EducationIndustry Licenses: Must complete Series 7 and 65 FINRA",Finance,3.6,2020-04-27,2020-06-07,FULL_TIME
36,Senior Salesforce Developer,National Debt Relief,NY,New York,44587,82162,"Principle Duties & Responsibilities:

Analyze complex systems and troubleshoot and isolate system issues;
Understand requirements for business users and translate into design specifications, utilizing thorough understanding of the Salesforce platform, Salesforce products and licensing models;
Utilize thorough understanding of application development, project lifecycle, and methodologies and ability to work under tight deadlines and handle multiple detail-oriented tasks;
Apply knowledge of Salesforce developmentand customizations, with APEX, Visual Force, API, Force.com and Workflows, taking into account com best practices, support mechanisms, procedures, and limitations, as well as NDR's unique needs;
Responsible for Salesforce administration, release management and deployment as well as management of Salesforce.com sandboxes, including their integrations;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Design, develop, and maintain integration and synchronization programs;
Design the data model, user interface, business logic, and security for custom applications; and
Design, develop, and customize software solutions for end users by using analysis and mathematical models to effectively predict and measure the results of the design using Chatter, Communities and other Salesforce applications.

Requirements:

Bachelor of Science degree or foreign equivalent in Information Systems, Computer Science, Computer Engineering, Software Engineering or a related field
3 years of experience with the Salesforce platform, specifically: development with Apex, VisualForce, and Force.com;
Design and execute Salesforce.com configuration changes, leveraging the Salesforce interface to sync with internal tracking systems;
Salesforce administration, release management, and deployment
Salesforce products and licensing models
Management of Salesforce.com sandboxes, including their integrations; Chatter, Communities, and other Salesforce apps
com best practices, support mechanisms, procedures, and limitations.

What We Offer:

We believe in a team-first culture, full of rewards and recognition for our employees. We are dedicated to our employees' success and growth within the company, through our employee mentorship and leadership programs.

Our extensive benefits package includes:


Medical, Dental, and Vision Benefits
401(k) Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 Weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
No-cost Life Insurance Benefits

About National Debt Relief:

National Debt Relief is one of the country's largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we're all about helping our customers through a tough financial time in their lives with education and individual customer service.

We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

#ZR",Finance,4.0,2020-05-08,2020-06-07,FULL_TIME
